,model,exp,components,distr,n_epochs,train_mse_first,train_mse_best,train_mae_first,train_mae_best,train_mape_first,train_mape_best,test_mse_first,test_mse_best,test_mae_first,test_mae_best,test_mape_first,test_mape_best,train_mse_improvement,test_mse_improvement,total_time_minutes,epoch_train_time,one_step_time,epoch_total_time,speed_epochs_per_minute,full_time,epoch_test_time_one_step,last_loss,train_mse_improvement_pct,test_mse_improvement_pct
0,ARIMA,False,1,None,1.0,,,,,,,,12.399,,2.424,,6.167,,,,,,,,,,,,
1,Attention,False,1,None,17.5,2453.0,29.68,23.331,3.988,116.805,41.119,901.667,10.885,16.935,2.286,49.782,6.92,0.557,0.633,0.219,0.239,0.0,2.518,116.92,13.133,0.0,0.384,55.658,63.26
2,EM,False,2,None,2.333,37.017,34.59,4.7,4.822,45.589,52.575,7.681,4.566,2.089,1.558,7.002,4.652,-0.014,0.39,0.118,0.079,0.001,4.256,21.131,7.093,0.001,0.305,-1.365,38.966
3,EM,False,3,None,10.0,60.232,24.537,5.989,3.836,68.429,36.016,42.914,11.389,4.578,2.344,13.039,6.199,0.393,0.628,0.14,0.095,0.002,2.786,75.978,8.385,0.002,0.4,39.254,62.848
4,EM,True,2,None,17.5,40.131,26.111,4.943,4.006,50.28,54.948,30.72,15.799,4.352,2.811,11.281,6.71,0.239,0.598,0.128,0.085,0.002,1.413,136.599,7.667,0.002,0.409,23.917,59.803
5,EM,True,3,None,20.167,127.984,36.546,7.635,4.533,155.245,64.519,99.83,22.362,7.706,3.084,19.406,7.458,0.451,0.705,0.14,0.095,0.002,0.988,145.76,8.4,0.002,0.506,45.07,70.539
6,MLP,False,1,None,10.833,68.353,29.803,6.295,4.079,54.908,51.158,72.895,10.875,5.522,2.336,11.862,6.129,0.391,0.413,0.017,0.015,0.0,0.413,550.762,1.047,0.0,0.357,39.105,41.266
7,SEM,False,2,laplace,13.667,67.461,54.528,5.84,6.109,56.606,60.571,148.203,71.692,7.145,4.455,21.25,10.844,-1.485,0.383,0.094,0.018,0.002,1.495,154.557,5.613,0.002,0.637,-148.479,38.306
8,SEM,False,2,logistic,24.0,73.134,58.532,6.193,5.479,53.526,52.848,212.377,7.434,7.854,1.916,35.987,5.533,-0.014,0.687,0.084,0.018,0.002,0.76,307.913,5.017,0.002,0.678,-1.4,68.665
9,SEM,False,2,normal,18.833,164.978,42.505,9.749,4.891,94.057,52.951,105.347,17.785,7.487,3.022,19.442,6.902,0.607,0.85,0.082,0.018,0.002,0.43,215.426,4.908,0.002,0.59,60.696,85.041
10,SEM,False,2,student,7.667,77.696,46.834,6.382,5.162,72.314,61.776,111.254,23.539,5.632,3.104,25.277,10.828,0.159,0.337,0.15,0.018,0.004,4.241,55.104,8.991,0.004,0.668,15.928,33.683
11,SEM,False,3,laplace,19.5,108.289,62.618,7.642,5.675,105.499,91.247,15.781,6.051,3.269,1.904,10.232,6.093,0.361,0.497,0.095,0.018,0.002,1.565,196.708,5.694,0.002,0.583,36.14,49.69
12,SEM,False,3,logistic,28.667,204.863,52.888,10.148,5.96,70.481,54.531,190.071,63.181,9.389,4.672,23.294,10.511,0.284,0.711,0.084,0.017,0.002,0.304,353.095,5.022,0.002,0.658,28.386,71.078
13,SEM,False,3,normal,21.5,195.411,38.593,10.247,4.626,84.804,35.833,178.973,5.595,8.783,1.646,35.382,4.74,0.589,0.776,0.083,0.018,0.002,0.52,249.026,4.965,0.002,0.539,58.911,77.626
14,SEM,False,3,student,9.833,150.959,37.698,8.455,4.912,60.166,47.247,41.68,4.757,4.01,1.586,10.141,4.618,0.357,0.455,0.147,0.017,0.004,3.458,71.276,8.845,0.004,0.63,35.707,45.545
15,SEM,True,2,laplace,7.333,29.282,27.459,4.282,4.045,60.5,36.589,15.098,8.213,2.876,2.071,10.191,7.636,-0.461,0.466,0.094,0.018,0.002,1.002,77.103,5.613,0.002,0.638,-46.116,46.599
16,SEM,True,2,logistic,22.333,143.948,26.457,8.135,3.802,84.895,46.696,109.656,23.806,7.11,2.857,17.459,7.08,0.194,0.806,0.082,0.017,0.002,0.362,282.879,4.934,0.002,0.588,19.436,80.582
17,SEM,True,2,normal,11.333,77.305,53.947,6.415,5.563,58.645,45.387,24.762,11.23,3.81,2.395,13.98,8.073,0.194,0.487,0.081,0.018,0.002,0.831,143.517,4.882,0.002,0.61,19.394,48.749
18,SEM,True,2,student,20.333,126.41,41.399,8.782,5.093,76.382,54.134,63.822,14.185,5.83,2.61,13.82,6.957,0.521,0.616,0.147,0.017,0.004,0.755,131.724,8.814,0.004,0.725,52.074,61.617
19,SEM,True,3,laplace,19.0,115.071,72.819,7.518,6.285,87.258,74.888,173.808,75.325,7.16,4.594,16.972,10.708,-0.141,0.526,0.095,0.018,0.002,0.506,205.237,5.675,0.002,0.711,-14.055,52.606
20,SEM,True,3,logistic,4.167,140.361,27.85,6.982,4.116,89.666,32.358,76.822,8.279,4.678,2.031,22.388,7.315,0.055,0.419,0.083,0.017,0.002,2.065,52.422,4.992,0.002,0.665,5.52,41.946
21,SEM,True,3,normal,26.833,208.451,92.355,10.769,7.85,137.412,88.614,135.199,48.945,7.454,4.568,18.59,12.014,0.061,0.367,0.082,0.017,0.002,0.985,348.548,4.9,0.002,0.636,6.136,36.712
22,SEM,True,3,student,21.5,192.596,66.695,10.428,6.351,93.198,52.841,212.16,27.588,9.064,3.802,27.941,12.527,0.453,0.636,0.147,0.017,0.004,0.595,152.47,8.817,0.004,0.745,45.27,63.586
